"","ID","date","Value","FunSys_item","EqGr","EqGr_no","ComGr_no","Unit","MsureGr","MsureGr_lvl"
"64","01CT002_XQ60",2007-08-01,28.26753616,"01","CT","002_X","XQ60","degC","T_CTRL_CAB","MBA01"
"65","01CT021_XQ60",2007-07-01,38.2151224082911,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"66","01CT021_XQ60",2007-07-02,38.7080479985631,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"67","01CT021_XQ60",2007-07-03,38.4525515827141,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"68","01CT021_XQ60",2007-07-04,37.0706589171036,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"69","01CT021_XQ60",2007-07-05,38.3205655317749,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"70","01CT021_XQ60",2007-07-06,37.9069310701441,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"71","01CT021_XQ60",2007-07-07,34.5370866568848,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"72","01CT021_XQ60",2007-07-08,32.7464715328061,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"73","01CT021_XQ60",2007-07-09,33.8187635432135,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"74","01CT021_XQ60",2007-07-10,36.7489013389774,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"75","01CT021_XQ60",2007-07-11,39.2749804485451,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"76","01CT021_XQ60",2007-07-12,38.1857020853715,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"77","01CT021_XQ60",2007-07-13,37.8772697898524,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"78","01CT021_XQ60",2007-07-14,39.9030849201939,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"79","01CT021_XQ60",2007-07-15,40.0795427510845,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"80","01CT021_XQ60",2007-07-16,39.6301146371591,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"81","01CT021_XQ60",2007-07-17,41.1760688272124,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"82","01CT021_XQ60",2007-07-18,41.5248988470307,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"83","01CT021_XQ60",2007-07-19,41.165738195033,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"84","01CT021_XQ60",2007-07-20,41.1907194658385,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"85","01CT021_XQ60",2007-07-21,41.1247135382957,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"86","01CT021_XQ60",2007-07-22,39.98029347793,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"87","01CT021_XQ60",2007-07-23,38.434416989048,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"88","01CT021_XQ60",2007-07-24,39.8408151164653,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"89","01CT021_XQ60",2007-07-25,40.0085441830156,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"90","01CT021_XQ60",2007-07-26,40.0036124244942,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"91","01CT021_XQ60",2007-07-27,39.8308346011742,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"92","01CT021_XQ60",2007-07-28,40.5589688065828,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"93","01CT021_XQ60",2007-07-29,39.2142692910787,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"94","01CT021_XQ60",2007-07-30,38.4516832091238,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"95","01CT021_XQ60",2007-07-31,37.9358463822795,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"96","01CT021_XQ60",2007-08-01,37.32955551,"01","CT","021_X","XQ60","degC","T_COMP","MBA01GD020"
"97","01CT022_XQ60",2007-07-01,38.9303882137112,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"98","01CT022_XQ60",2007-07-02,39.4643406652801,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"99","01CT022_XQ60",2007-07-03,39.1850791563773,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"100","01CT022_XQ60",2007-07-04,37.8353685300394,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"101","01CT022_XQ60",2007-07-05,39.0604215105393,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"102","01CT022_XQ60",2007-07-06,38.6699906955741,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"103","01CT022_XQ60",2007-07-07,35.3458549005532,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"104","01CT022_XQ60",2007-07-08,33.7009250663779,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"105","01CT022_XQ60",2007-07-09,34.6391436990694,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"106","01CT022_XQ60",2007-07-10,37.5337443880179,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"107","01CT022_XQ60",2007-07-11,40.0502105141597,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"108","01CT022_XQ60",2007-07-12,38.9092167845938,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"109","01CT022_XQ60",2007-07-13,38.6421727675255,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"110","01CT022_XQ60",2007-07-14,40.6476545644722,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"111","01CT022_XQ60",2007-07-15,40.8552138927269,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"112","01CT022_XQ60",2007-07-16,40.3826427897737,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"113","01CT022_XQ60",2007-07-17,41.9326573222633,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
